city,state_id,lat,lng,population,density,id
Tallahassee,FL,30.4549,-84.2527,252825,733,484
Slidell,LA,30.2881,-89.7828,94320,728,485
Mandeville,LA,30.375,-90.0906,95576,690,486
Valdosta,GA,30.8503,-83.2789,79844,608,487
Savannah,GA,32.0282,-81.1784,280692,548,488
Warner Robins,GA,32.5981,-83.6528,148686,795,489
Shreveport,LA,32.4659,-93.7959,291749,702,490
Smyrna,GA,33.864,-84.5169,56664,1424,491
Marietta,GA,33.9532,-84.542,60941,1011,492
Sumter,SC,33.9393,-80.3929,73468,487,493
Sandy Springs,GA,33.9366,-84.3703,105703,1083,494
Wilmington,NC,34.21,-77.886,242770,879,495
Tupelo,MS,34.2637,-88.7298,46095,293,496
Madison,AL,34.7113,-86.7617,47959,625,497
Southaven,MS,34.9514,-89.9787,53214,497,498
Little Rock,AR,34.7255,-92.3584,442554,645,499
Spartanburg,SC,34.9437,-81.9256,185031,739,500
Mauldin,SC,34.7864,-82.2997,132708,983,501
Memphis,TN,35.1047,-89.9773,1069661,794,502
Wilson,NC,35.7311,-77.9284,49644,628,503
Apex,NC,35.7248,-78.866,47349,1057,504
Springdale,AR,36.1897,-94.1574,78557,652,505
Winston-Salem,NC,36.1029,-80.261,412490,705,506
Lexington,KY,38.0423,-84.4587,312495,433,507
North Charleston,SC,32.9086,-80.0705,109298,572,508
